
······ Experiment Configuration ······ 
- # Packages: 100, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
- Proportion: 1.2, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
······································

Steps	Stiter	K	Lamb	price	time
10000 	15 	2 	0,1000	929,4590	17.8
10000 	15 	2 	0,0500	926,6130	26.5
10000 	15 	2 	0,0100	925,2940	24.9
10000 	15 	3 	1,0000	934,4855	1.7
10000 	15 	3 	0,5000	929,8520	3.5
10000 	15 	3 	0,1000	928,4640	17.4
10000 	15 	3 	0,0500	931,2005	23.5
10000 	15 	3 	0,0100	940,1225	25.9
10000 	16 	0 	1,0000	930,9025	1.9
10000 	16 	0 	0,5000	926,4770	3.6
10000 	16 	0 	0,1000	926,3170	17.8
10000 	16 	0 	0,0500	925,0590	22.9
10000 	16 	0 	0,0100	926,6415	23.2
10000 	16 	1 	1,0000	934,0240	1.6
10000 	16 	1 	0,5000	927,8325	3.1
10000 	16 	1 	0,1000	927,3280	17.0
10000 	16 	1 	0,0500	924,5020	23.8
10000 	16 	1 	0,0100	924,3680	23.9
10000 	16 	2 	1,0000	933,3825	1.6
10000 	16 	2 	0,5000	927,3930	3.6
10000 	16 	2 	0,1000	925,6635	18.3
10000 	16 	2 	0,0500	928,3755	23.6
10000 	16 	2 	0,0100	934,4045	23.8
10000 	16 	3 	1,0000	934,3490	1.6
10000 	16 	3 	0,5000	930,0570	3.2
10000 	16 	3 	0,1000	928,4690	17.4
10000 	16 	3 	0,0500	932,6950	24.9
10000 	16 	3 	0,0100	939,5810	24.0
10000 	17 	0 	1,0000	931,9490	2.0
10000 	17 	0 	0,5000	927,4295	3.3
10000 	17 	0 	0,1000	923,7930	18.1
10000 	17 	0 	0,0500	925,6555	23.6
10000 	17 	0 	0,0100	926,0465	23.1
10000 	17 	1 	1,0000	931,2615	1.6
10000 	17 	1 	0,5000	928,7915	3.4
10000 	17 	1 	0,1000	926,9875	17.5
10000 	17 	1 	0,0500	927,7245	23.2
10000 	17 	1 	0,0100	925,5275	23.4
10000 	17 	2 	1,0000	933,5345	1.6
10000 	17 	2 	0,5000	928,3980	3.4
10000 	17 	2 	0,1000	926,9090	17.8
10000 	17 	2 	0,0500	926,7465	23.4
10000 	17 	2 	0,0100	929,7995	24.1
10000 	17 	3 	1,0000	934,5145	1.6
10000 	17 	3 	0,5000	926,0080	3.3
10000 	17 	3 	0,1000	932,2135	17.7
10000 	17 	3 	0,0500	932,1430	25.4
10000 	17 	3 	0,0100	943,3270	25.5
10000 	18 	0 	1,0000	932,0945	1.7
10000 	18 	0 	0,5000	927,3340	3.4
10000 	18 	0 	0,1000	925,0155	16.7
10000 	18 	0 	0,0500	925,4470	21.9
10000 	18 	0 	0,0100	925,7710	22.6
10000 	18 	1 	1,0000	932,1485	1.6
10000 	18 	1 	0,5000	927,8595	3.6
10000 	18 	1 	0,1000	923,3270	17.7
10000 	18 	1 	0,0500	926,5780	23.4
10000 	18 	1 	0,0100	928,8995	24.4
10000 	18 	2 	1,0000	934,1410	1.7
10000 	18 	2 	0,5000	929,0045	3.4
10000 	18 	2 	0,1000	926,7290	17.5
10000 	18 	2 	0,0500	928,1590	25.4
10000 	18 	2 	0,0100	930,5350	24.9
10000 	18 	3 	1,0000	932,7195	1.7
10000 	18 	3 	0,5000	929,6465	3.3
10000 	18 	3 	0,1000	929,6695	17.1
10000 	18 	3 	0,0500	932,7315	24.6
10000 	18 	3 	0,0100	948,1145	27.6
10000 	19 	0 	1,0000	929,6150	2.1
10000 	19 	0 	0,5000	926,8845	3.6
10000 	19 	0 	0,1000	925,3020	18.6
10000 	19 	0 	0,0500	925,8495	23.4
10000 	19 	0 	0,0100	925,9625	23.1
10000 	19 	1 	1,0000	933,0195	1.6
10000 	19 	1 	0,5000	926,6160	3.2
10000 	19 	1 	0,1000	925,9855	17.9
10000 	19 	1 	0,0500	925,4895	23.1
10000 	19 	1 	0,0100	927,2490	23.6
10000 	19 	2 	1,0000	933,0235	1.6
10000 	19 	2 	0,5000	930,4500	3.5
10000 	19 	2 	0,1000	927,7015	17.7
10000 	19 	2 	0,0500	928,8325	23.6
10000 	19 	2 	0,0100	932,0960	24.6
10000 	19 	3 	1,0000	934,1470	1.5
10000 	19 	3 	0,5000	930,5925	3.2
10000 	19 	3 	0,1000	931,1290	16.9
10000 	19 	3 	0,0500	932,2830	25.5
10000 	19 	3 	0,0100	936,2560	26.1
10000 	20 	0 	1,0000	931,1495	2.0
10000 	20 	0 	0,5000	926,6125	3.3
10000 	20 	0 	0,1000	925,4195	17.1
